Player,Squad,League,Age,Pos,Altura_cm,Pie,Finaliza_Contrato,Valor_M€,Score_MC,p_Efficiency,Score_Final
Davide Bartesaghi,Milan,Serie A,20,"MF,DF",193.0,Left,No,18.0,57.251592356687894,61.146496815286625,56.41625796178343
Dayann Methalie,Toulouse,Ligue 1,20,MF,185.0,Right,No,8.0,53.56210191082802,88.21656050955414,61.333896496815285
Diego Moreira,Strasbourg,Ligue 1,21,MF,179.0,Left,No,18.0,58.32324840764331,60.828025477707,56.21684235668789
Diogo Travassos,Moreirense,Primeira Liga,21,"MF,FW",175.0,Right,No,2.5,55.788216560509554,98.40764331210191,63.88783439490445
El Hadji Malick Diouf,West Ham United,Premier League,21,"DF,MF",182.0,Left,No,28.0,53.945859872611464,37.898089171974526,49.13152866242038
Gustavo sá,Famalicão,Primeira Liga,21,MF,186.0,Right,No,16.0,51.0828025477707,56.68789808917197,48.47337579617833
Hugo Larsson,Eintracht Frankfurt,Bundesliga,21,MF,187.0,Right,No,40.0,47.488853503184714,18.152866242038215,37.35836942675159
Ibrahim Maza,Leverkusen,Bundesliga,20,MF,180.0,Right,No,25.0,53.310509554140125,42.038216560509554,48.43612738853503
Ibrahim Mbaye,Paris Saint-Germain,Ligue 1,18,"FW,MF",188.0,Right,No,25.0,38.70222929936306,29.29936305732484,33.984960191082806
Ilyas Ansah,Union Berlin,Bundesliga,21,"MF,FW",194.0,Right,No,12.0,35.62261146496815,57.324840764331206,41.13584713375796
Jack Hinshelwood,Brighton,Premier League,20,"MF,DF",182.0,Right,No,22.0,39.27866242038217,36.30573248407643,38.38678343949044
Jan Virgili,Mallorca,La Liga,19,MF,178.0,Right,No,12.0,38.93630573248407,63.05732484076433,45.627503184713376
Jay Robinson,Southampton,Championship,18,"MF,FW",178.0,Right,No,8.0,39.40605095541401,72.61146496815286,45.2300398089172
Jean Mattéo Bahoya,Eintracht Frankfurt,Bundesliga,20,"MF,FW",180.0,Right,No,25.0,43.37898089171975,33.12101910828025,39.08698089171975
Jeremy Monga,Leicester City,Championship,16,MF,182.0,Right,No,10.0,33.60828025477707,57.64331210191082,37.289920382165604
Jobe Bellingham,Dortmund,Bundesliga,20,MF,191.0,Right,No,25.0,58.47929936305733,46.496815286624205,53.247133757961784
Joel Roca,Girona,La Liga,20,"MF,FW",175.0,Right,No,5.0,37.851910828025474,92.03821656050955,53.57787579617834
Johan Manzambi,Freiburg,Bundesliga,20,MF,185.0,Right,No,30.0,51.4203821656051,32.48407643312102,44.29971974522292
Jordan James,Leicester City,Championship,21,MF,190.0,Right,No,8.0,50.62101910828026,81.84713375796179,54.67364649681528
Kassoum Ouattara,Monaco,Ligue 1,21,"MF,DF",178.0,Left,No,9.0,57.53343949044586,86.30573248407643,63.34598885350318
Kenan Yıldız,Juventus,Serie A,20,"MF,FW",185.0,Right,No,75.0,38.98089171974522,0.9554140127388535,26.20891719745223
Kobbie Mainoo,Manchester Utd,Premier League,20,MF,175.0,Right,No,40.0,42.12898089171975,14.012738853503185,33.69410828025478
Kévin Danois,Auxerre,Ligue 1,21,MF,179.0,Right,No,10.0,61.28025477707007,84.39490445859873,65.21191719745224
Lennart Karl,Bayern Munich,Bundesliga,18,MF,183.0,Left,No,60.0,50.14968152866242,8.598726114649681,36.280203821656045
Lesley Ugochukwu,Burnley,Premier League,21,MF,191.0,Right,No,25.0,57.18471337579618,47.13375796178344,54.169426751592354
Lewis Miley,Newcastle United,Premier League,19,"MF,DF",185.0,Right,No,20.0,57.716560509554135,58.28025477707006,57.88566878980891
Louis Leroux,Nantes,Ligue 1,20,"MF,DF",178.0,Right,No,9.0,46.183121019108285,77.07006369426752,53.186230891719745
Lucas Bergvall,Tottenham Hotspur,Premier League,20,MF,186.0,Right,No,40.0,40.044585987261144,13.375796178343949,32.043949044585986
Lukas Ullrich,Gladbach,Bundesliga,21,"MF,DF",183.0,Left,No,7.0,54.22452229299363,92.35668789808918,64.14588535031847
Malick Fofana,Lyon,Ligue 1,20,"MF,FW",169.0,Right,No,30.0,36.51433121019108,17.8343949044586,29.12114808917197
Mamadou Coulibaly,Monaco,Ligue 1,21,MF,183.0,Right,No,8.0,54.089171974522294,88.85350318471338,61.86810191082803
Marco Palestra,Cagliari,Serie A,20,"MF,DF",184.0,Right,No,25.0,57.30254777070064,45.22292993630573,51.67307324840765
Mario Martín,Getafe,La Liga,21,"MF,FW",177.0,Right,No,5.0,51.55095541401274,94.5859872611465,63.73975159235668
Mateus Fernandes,West Ham United,Premier League,21,MF,178.0,Right,No,32.0,65.0700636942675,41.082802547770704,57.87388535031846
Mathias De Amorim,Famalicão,Primeira Liga,21,MF,171.0,Right,No,6.0,55.3359872611465,92.99363057324841,61.98505732484077
Mert Kömür,Augsburg,Bundesliga,20,"FW,MF",183.0,Right,No,12.0,39.04936305732484,62.738853503184714,45.06282802547771
Ngal'Ayel Mukau,Lille,Ligue 1,21,MF,188.0,Right,No,12.0,39.826433121019114,62.101910828025474,44.55758121019109
Nico O’Reilly,Manchester City,Premier League,20,"DF,MF",193.0,Left,No,40.0,59.132165605095544,29.617834394904456,50.277866242038215
Noah Sadiki,Sunderland,Premier League,21,MF,181.0,Right,No,25.0,60.70700636942675,49.681528662420384,57.39936305732484
Patrick Dorgu,Manchester Utd,Premier League,21,MF,185.0,Left,No,30.0,60.0,39.80891719745223,53.94267515923567
Rodrigo Mendoza,Elche,La Liga,20,"MF,FW",185.0,Right,No,15.0,40.42356687898089,54.77707006369427,44.16368789808917
Rodrigo Mora,Porto,Primeira Liga,18,MF,170.0,Right,No,40.0,43.21337579617834,11.78343949044586,30.15447133757962
Said El Mala,Köln,Bundesliga,19,"FW,MF",186.0,Right,No,40.0,39.695859872611464,12.101910828025478,30.306191082802542
Samir El Mourabet,Strasbourg,Ligue 1,20,MF,175.0,Right,No,8.0,61.68152866242038,91.0828025477707,67.47951592356688
Sydie Peck,Sheffield United,Championship,21,MF,182.0,Left,No,12.0,63.55732484076433,75.47770700636943,60.45992038216559
Taichi Fukui,Arouca,Primeira Liga,21,MF,173.0,Right,No,2.0,62.73726114649681,100.0,68.64615286624203
Tom Bischof,Bayern Munich,Bundesliga,20,"DF,MF",176.0,Left,No,40.0,45.61942675159235,15.286624203821656,35.24224203821655
Valentín Barco,Strasbourg,Ligue 1,21,MF,172.0,Left,No,25.0,57.13535031847134,43.63057324840764,50.28428503184713
Victor Froholdt,Porto,Primeira Liga,19,MF,180.0,Right,No,30.0,59.31369426751592,34.71337579617834,46.951248407643305
Wilson Odobert,Tottenham Hotspur,Premier League,21,"MF,FW",182.0,Right,No,22.0,38.501592356687894,35.6687898089172,37.65175159235668
Yankuba Minteh,Brighton,Premier League,21,MF,180.0,Left,No,40.0,54.60509554140127,24.840764331210192,45.67579617834394
Álex Jiménez,Bournemouth,Premier League,20,"DF,MF",182.0,Right,No,18.0,62.57324840764331,67.19745222929936,63.96050955414013
Óscar Perea,AVS Futebol,Primeira Liga,20,"MF,FW",180.0,Right,No,2.0,44.09235668789809,98.08917197452229,56.5876433121019
